city_id,city,lat,lon,address_type,temp_moy,clouds_moy,pop_moy,temp_score,ciel_score,pluie_score,score
28,Collioure,42.52505,3.0831554,village,29.76875,52.25,0.025,0.8508760545100587,0.7028688524590163,1.0,0.851248302323025
22,Aix en Provence,43.5298424,5.4474738,city,30.2775,44.25,0.25,0.9036988968202467,0.834016393442623,0.7534246575342466,0.8303799825990388
23,Avignon,43.9492493,4.8059012,city,31.16,50.625,0.31,0.9953277092796887,0.7295081967213115,0.6876712328767123,0.8041690462925709
29,Carcassonne,43.2130358,2.3491069,town,29.435,47.625,0.2225,0.8162232316677482,0.7786885245901639,0.7835616438356164,0.7928244666978429
16,Grenoble,45.1875602,5.7357819,city,29.54625,34.125,0.4425,0.8277741726151852,1.0,0.5424657534246575,0.7900799753466142
21,Marseille,43.2963986,5.3777888,city,28.50875,43.75,0.28375,0.7200519143413369,0.8422131147540983,0.7164383561643836,0.7595677950866063
25,Nimes,43.8374249,4.3600687,city,31.205,54.125,0.3925,1.0,0.6721311475409837,0.5972602739726027,0.7564638071711954
20,Cassis,43.2140359,5.5396318,village,27.66875,44.125,0.27125,0.6328358208955224,0.8360655737704918,0.7301369863013698,0.7330127936557947
24,Uzes,44.0121279,4.4196718,village,30.3975,54.5,0.40499999999999997,0.9161583387410774,0.665983606557377,0.5835616438356165,0.7219011963780236
19,Bormes les Mimosas,43.1506968,6.3419285,village,26.67125,43.0,0.32125,0.5292667099286179,0.8545081967213115,0.6753424657534247,0.6863724574677846
32,Montauban,44.0175835,1.3549991,town,28.064999999999998,56.0,0.29875,0.6739779364049318,0.6413934426229508,0.7,0.671790459675961
31,Toulouse,43.6044638,1.4442433,city,27.948749999999997,49.125,0.3925,0.6619078520441269,0.7540983606557377,0.5972602739726027,0.6710888288908224
34,Bayonne,43.4945144,-1.4736657,town,26.1525,48.625,0.24875,0.47540558079169376,0.7622950819672132,0.7547945205479452,0.664165061102284
30,Ariege,42.9455368,1.4065544,county,23.6825,45.5,0.08374999999999999,0.21894873458793002,0.8135245901639344,0.9356164383561644,0.6560299210360095
26,Aigues Mortes,43.5661521,4.19154,town,27.7075,52.625,0.365,0.636859182349124,0.6967213114754098,0.6273972602739726,0.6536592513661688
33,Biarritz,43.4832523,-1.5592776,town,25.683750000000003,49.0,0.255,0.42673588578844945,0.7561475409836066,0.747945205479452,0.643609544083836
18,Gorges du Verdon,43.7496562,6.3285616,gorge,25.08625,48.875,0.32499999999999996,0.3646982478909799,0.7581967213114754,0.6712328767123288,0.598042615304928
15,Annecy,45.8992348,6.1288847,city,26.465,47.0,0.5549999999999999,0.5078520441271902,0.7889344262295082,0.4191780821917809,0.5719881841828265
27,Saintes Maries de la mer,43.4515922,4.4277202,town,25.04,55.375,0.3125,0.3598961713173264,0.6516393442622951,0.6849315068493151,0.5654890074763123
17,Lyon,45.7578137,4.8320114,city,26.37375,59.75,0.48875,0.49837767683322537,0.5799180327868853,0.49178082191780825,0.523358843845973
11,Colmar,48.0777517,7.3579641,town,25.84,64.5,0.5337500000000001,0.4429591174561973,0.5020491803278688,0.44246575342465744,0.46249135040290784
12,Eguisheim,48.0447968,7.3079618,village,25.42375,64.375,0.5387500000000001,0.3997404282933159,0.5040983606557377,0.43698630136986294,0.4469416967729722
14,Dijon,47.3215806,5.0414701,city,25.04,63.125,0.625,0.3598961713173264,0.5245901639344263,0.34246575342465757,0.4089840295588034
13,Besancon,47.2380222,6.0243622,city,24.583750000000002,62.125,0.62375,0.31252433484750186,0.540983606557377,0.34383561643835614,0.39911451928107833
9,Strasbourg,48.584614,7.7507127,city,25.721249999999998,76.375,0.5237499999999999,0.43062946138870845,0.3073770491803278,0.45342465753424666,0.3971437227010943
10,Chateau du Haut Koenigsbourg,48.249382,7.3439412,historic,23.36875,69.75,0.52375,0.18637248539909135,0.4159836065573771,0.45342465753424654,0.351926916496905
8,Lille,50.6365654,3.0635282,city,23.341250000000002,79.25,0.65,0.18351719662556804,0.26024590163934425,0.31506849315068497,0.25294386380519907
6,Paris,48.8534951,2.3483915,city,23.62875,84.5,0.65,0.21336794289422456,0.1741803278688525,0.31506849315068497,0.23420558797125401
35,La Rochelle,46.159732,-1.1515951,city,22.817500000000003,78.5,0.855,0.12913692407527605,0.27254098360655743,0.09041095890410966,0.1640296221953144
3,Bayeux,49.2764624,-0.7024738,town,23.49625,91.0,0.8674999999999999,0.19961064243997403,0.06762295081967218,0.0767123287671233,0.11464864067558984
2,St Malo,48.649518,-2.0260409,town,22.35,86.25,0.8500000000000001,0.08059701492537326,0.1454918032786885,0.09589041095890405,0.1073264097209886
5,Rouen,49.4404591,1.0939658,city,23.216250000000002,95.125,0.875,0.17053861129136946,0.0,0.06849315068493156,0.07967725399210034
1,Mont Saint Michel,48.6359541,-1.51146,islet,23.14125,91.375,0.9375,0.16275146009085004,0.061475409836065587,0.0,0.07474228997563855
7,Amiens,49.8941708,2.2956951,city,22.714999999999996,93.25,0.875,0.11849448410123256,0.030737704918032738,0.06849315068493156,0.07257511323473229
4,Le Havre,49.4938975,0.1079732,city,21.57375,93.25,0.8300000000000001,0.0,0.030737704918032738,0.11780821917808215,0.0495153080320383
